Time [s],Channel 0,Channel 1
148.797099000,1,1
148.797116400,1,0
148.797194200,1,1
148.797211600,1,0
148.797220200,1,1
148.797229000,1,0
148.797237600,1,1
148.797281000,1,0
148.797289600,1,1
148.797307000,1,0
148.797315600,1,1
148.797359000,1,0
148.797367400,1,1
148.801393200,0,1
148.801410400,1,1
148.801479800,0,1
148.801488400,1,1
148.801566200,0,1
148.801592200,1,1
148.801600800,0,1
148.801644200,1,1
148.801652800,0,1
148.801730600,1,1
148.801739400,0,1
148.801756600,1,1
148.801765400,0,1
148.801817200,1,1
148.801825800,0,1
148.801834600,1,1
148.801851800,0,1
148.801903800,1,1
148.801912400,0,1
148.801990200,1,1
148.801999000,0,1
148.802033600,1,1
148.802042200,0,1
148.802059600,1,1
148.802068200,0,1
148.802076800,1,1
148.802085400,0,1
148.802111400,1,1
148.802137400,0,1
148.802146000,1,1
148.802154800,0,1
148.802163400,1,1
148.826018400,1,0
148.826035600,1,1
148.826113600,1,0
148.826122200,1,1
148.826209000,1,0
148.826217600,1,1
148.826243600,1,0
148.826287000,1,1
148.826304400,1,0
148.826382200,1,1
148.826399600,1,0
148.826460200,1,1
148.826469000,1,0
148.826477600,1,1
148.826495000,1,0
148.826572800,1,1
148.826590200,1,0
148.826598800,1,1
148.826616200,1,0
148.826668200,1,1
148.826737600,1,0
148.826746000,1,1
148.826754800,1,0
148.826815400,1,1
148.826832800,1,0
148.826850000,1,1
148.826858800,1,0
148.826910600,1,1
148.826928200,1,0
148.827006000,1,1
148.827023400,1,0
148.827101200,1,1
148.827118800,1,0
148.827136000,1,1
148.827144600,1,0
148.827196600,1,1
148.827214000,1,0
148.827222600,1,1
148.827231400,1,0
148.827291800,1,1
148.827309400,1,0
148.827317800,1,1
148.827326600,1,0
148.827387200,1,1
148.827404600,1,0
148.827413200,1,1
148.827430600,1,0
148.827482600,1,1
148.827500000,1,0
148.827508400,1,1
148.827517200,1,0
148.827577800,1,1
148.827595200,1,0
148.827673200,1,1
148.827707800,1,0
148.827733800,1,1
148.827742600,1,0
148.827785800,1,1
148.827803200,1,0
148.827811800,1,1
148.827820600,1,0
148.827881000,1,1
148.827898400,1,0
148.827907000,1,1
148.827924400,1,0
148.827933000,1,1
148.827967800,1,0
148.827976400,1,1
148.827993800,1,0
148.828002400,1,1
148.828011200,1,0
148.828019800,1,1
148.828028400,1,0
148.828071600,1,1
148.828089200,1,0
148.828097600,1,1
148.828106400,1,0
148.828167000,1,1
148.828184400,1,0
148.828193000,1,1
148.828210400,1,0
148.828219000,1,1
148.828253800,1,0
148.828262200,1,1
148.828279800,1,0
148.828297000,1,1
148.828305600,1,0
148.828314200,1,1
148.828323000,1,0
148.828357600,1,1
148.828375000,1,0
148.828383600,1,1
148.828392400,1,0
148.828452800,1,1
148.828470400,1,0
148.828487600,1,1
148.828496400,1,0
148.828548200,1,1
148.828583000,1,0
148.828608800,1,1
148.828626200,1,0
148.828660800,1,1
148.828678200,1,0
148.828686800,1,1
148.828695600,1,0
148.828756200,1,1
148.828773600,1,0
148.828851400,1,1
148.828868800,1,0
148.828877400,1,1
148.828886200,1,0
148.828894800,1,1
148.828912200,1,0
148.828946800,1,1
148.828964200,1,0
148.828972800,1,1
148.828981400,1,0
148.829042000,1,1
148.829059400,1,0
148.829068000,1,1
148.829076800,1,0
148.829137400,1,1
148.829154800,1,0
148.829198000,1,1
148.829206800,1,0
148.829232600,1,1
148.829250000,1,0
148.829258600,1,1
148.829267400,1,0
148.829328000,1,1
148.829345400,1,0
148.829423200,1,1
148.829440600,1,0
148.829449200,1,1
148.829458000,1,0
148.829483800,1,1
148.829492600,1,0
148.829518600,1,1
148.829536000,1,0
148.829553200,1,1
148.829562000,1,0
148.829613800,1,1
148.829631200,1,0
148.829709200,1,1
148.829726600,1,0
148.829804400,1,1
148.829830400,1,0
148.829882400,1,1
148.829891200,1,0
148.829908400,1,1
148.829925800,1,0
148.829934400,1,1
148.829943200,1,0
148.830003600,1,1
148.830021000,1,0
148.830099000,1,1
148.830116400,1,0
148.830125000,1,1
148.830133600,1,0
148.830168200,1,1
148.830177000,1,0
148.830194200,1,1
148.830211600,1,0
148.830228800,1,1
148.830237600,1,0
148.830289400,1,1
148.830307000,1,0
148.830384800,1,1
148.830402200,1,0
148.830480000,1,1
148.830497400,1,0
148.830514800,1,1
148.830523400,1,0
148.830532000,1,1
148.830540800,1,0
148.830549400,1,1
148.830558200,1,0
148.830575400,1,1
148.830592800,1,0
148.830601400,1,1
148.830610200,1,0
148.830670600,1,1
148.830688000,1,0
148.830696600,1,1
148.830705400,1,0
148.830766000,1,1
148.830783400,1,0
148.830792000,1,1
148.830809400,1,0
148.830818000,1,1
148.830826800,1,0
148.830835200,1,1
148.830844000,1,0
148.830861200,1,1
148.830878600,1,0
148.830887200,1,1
148.830896000,1,0
148.830956600,1,1
148.830974000,1,0
148.830982600,1,1
148.830991200,1,0
148.831051800,1,1
148.831086600,1,0
148.831112400,1,1
148.831130000,1,0
148.831138400,1,1
148.831147200,1,0
148.831164400,1,1
148.831181800,1,0
148.831190400,1,1
148.831199200,1,0
148.831259800,1,1
148.831277200,1,0
148.831303200,1,1
148.831311800,1,0
148.831355000,1,1
148.831372600,1,0
148.831415800,1,1
148.831433200,1,0
148.831450400,1,1
148.831467800,1,0
148.831476400,1,1
148.831485200,1,0
148.831545600,1,1
148.831563200,1,0
148.831589000,1,1
148.831597800,1,0
148.831615000,1,1
148.831632400,1,0
148.831641000,1,1
148.831658400,1,0
148.831684200,1,1
148.831693000,1,0
148.831701600,1,1
148.831719000,1,0
148.831736200,1,1
148.831753800,1,0
